Наименование,ISIN,Валюта,Количество_нп,Номинал_нп,Цена_нп,Стоимость_нп,НКД_нп,Количество_кп,Номинал_кп,Цена_кп,Стоимость_кп,НКД_кп,Количество_изп,Стоимость_изп,Зачисления,Списания,Остаток,Дата
FXRUETF,IE00BD5FH213,RUB,0,1,951.7,0.00,0,2,1,951.1,1902.20,0,2,1902.20,0,0,2,2021-05-19
FXRWETF,IE00BK224M36,RUB,0,1,1.2243,0.00,0,465,1,1.2079,561.67,0,465,561.67,0,0,465,2021-05-19
FXUSETF,IE00BD3QHZ91,RUB,0,1,5618,0.00,0,1,1,5506,5506.00,0,1,5506.00,0,0,1,2021-05-19
SBSPETF,RU000A1006W1,RUB,0,1,1631.6,0.00,0,2,1,1603.4,3206.80,0,2,3206.80,0,0,2,2021-05-19
VTBEETF,RU000A100HQ5,RUB,0,1,95.69,0.00,0,3,1,94.72,284.16,0,3,284.16,0,0,3,2021-05-19
БПИФбрутто,RU000A0ZZH92,RUB,0,1,1819,0.00,0,2,1,1789,3578.00,0,2,3578.00,0,0,2,2021-05-19
FXDEETF,IE00BD3QJN10,RUB,1,1,3118,3118.00,0,1,1,3046,3046.00,0,0,-72.00,0,0,1,2021-07-19
FXDMETF,IE00BMDKNM37,RUB,40,1,77.2,3088.00,0,40,1,75.83,3033.20,0,0,-54.80,0,0,40,2021-07-19
FXGDETF,IE00B8XB7377,RUB,1,1,909.8,909.80,0,1,1,905.6,905.60,0,0,-4.20,0,0,1,2021-07-19
FXIMETF,IE00BNC2D728,RUB,20,1,93.95,1879.00,0,20,1,92.37,1847.40,0,0,-31.60,0,0,20,2021-07-19
FXRLETF,IE00BQ1Y6480,RUB,1,1,4118.5,4118.50,0,1,1,4050,4050.00,0,0,-68.50,0,0,1,2021-07-19
FXRUETF,IE00BD5FH213,RUB,3,1,959.4,2878.20,0,3,1,961.9,2885.70,0,0,7.50,0,0,3,2021-07-19
FXRWETF,IE00BK224M36,RUB,465,1,1.2837,596.92,0,465,1,1.2635,587.53,0,0,-9.39,0,0,465,2021-07-19
FXUSETF,IE00BD3QHZ91,RUB,3,1,5948,17844.00,0,3,1,5869,17607.00,0,0,-237.00,0,0,3,2021-07-19
SBSPETF,RU000A1006W1,RUB,2,1,1719.6,3439.20,0,2,1,1693.2,3386.40,0,0,-52.80,0,0,2,2021-07-19
VTBEETF,RU000A100HQ5,RUB,3,1,97.95,293.85,0,3,1,95.94,287.82,0,0,-6.03,33,0,36,2021-07-19
БПИФбрутто,RU000A0ZZH92,RUB,240,1,19.114,4587.36,0,240,1,18.743,4498.32,0,0,-89.04,0,0,240,2021-07-19
FXDEETF,IE00BD3QJN10,RUB,1,1,3046,3046.00,0,1,1,3046,3046.00,0,0,0.00,0,0,1,2021-07-20
FXDMETF,IE00BMDKNM37,RUB,40,1,75.83,3033.20,0,40,1,75.66,3026.40,0,0,-6.80,0,0,40,2021-07-20
FXGDETF,IE00B8XB7377,RUB,1,1,905.6,905.60,0,1,1,911.6,911.60,0,0,6.00,0,0,1,2021-07-20
FXIMETF,IE00BNC2D728,RUB,20,1,92.37,1847.40,0,20,1,92.2,1844.00,0,0,-3.40,0,0,20,2021-07-20
FXRLETF,IE00BQ1Y6480,RUB,1,1,4050,4050.00,0,1,1,4037,4037.00,0,0,-13.00,0,0,1,2021-07-20
FXRUETF,IE00BD5FH213,RUB,3,1,961.9,2885.70,0,3,1,963,2889.00,0,0,3.30,0,0,3,2021-07-20
FXRWETF,IE00BK224M36,RUB,465,1,1.2635,587.53,0,465,1,1.2629,587.25,0,0,-0.28,0,0,465,2021-07-20
FXUSETF,IE00BD3QHZ91,RUB,3,1,5869,17607.00,0,3,1,5869,17607.00,0,0,0.00,0,0,3,2021-07-20
SBSPETF,RU000A1006W1,RUB,2,1,1693.2,3386.40,0,2,1,1696.4,3392.80,0,0,6.40,0,0,2,2021-07-20
VTBEETF,RU000A100HQ5,RUB,3,1,95.94,287.82,0,3,1,95.91,287.73,0,0,-0.09,33,0,36,2021-07-20
БПИФбрутто,RU000A0ZZH92,RUB,240,1,18.743,4498.32,0,240,1,18.695,4486.80,0,0,-11.52,0,0,240,2021-07-20
FXDEETF,IE00BD3QJN10,RUB,118,1,29.465,3476.87,0,124,1,29.5,3658.00,0,6,181.13,0,0,124,2022-02-21
FXDMETF,IE00BMDKNM37,RUB,89,1,79.52,7077.28,0,92,1,80.39,7395.88,0,3,318.60,0,0,92,2022-02-21
FXGDETF,IE00B8XB7377,RUB,20,1,96.79,1935.80,0,22,1,99.19,2182.18,0,2,246.38,0,0,22,2022-02-21
FXIMETF,IE00BNC2D728,RUB,37,1,92.19,3411.03,0,39,1,91.25,3558.75,0,2,147.72,0,0,39,2022-02-21
FXRLETF,IE00BQ1Y6480,RUB,187,1,38.075,7120.03,0,192,1,34.705,6663.36,0,5,-456.67,0,0,192,2022-02-21
FXRUETF,IE00BD5FH213,RUB,30,1,91.94,2758.20,0,43,1,93.19,4007.17,0,13,1248.97,0,0,43,2022-02-21
FXRWETF,IE00BK224M36,RUB,1100,1,1.2955,1425.05,0,1135,1,1.2714,1443.04,0,35,17.99,0,0,1135,2022-02-21
FXUSETF,IE00BD3QHZ91,RUB,345,1,60.62,20913.90,0,350,1,61.1,21385.00,0,5,471.10,0,0,350,2022-02-21
SBSPETF,RU000A1006W1,RUB,4,1,1776.8,7107.20,0,5,1,1787.2,8936.00,0,1,1828.80,0,0,5,2022-02-21
VTBEETF,RU000A100HQ5,RUB,78,1,93.77,7314.06,0,81,1,93.84,7601.04,0,3,286.98,0,0,81,2022-02-21
БПИФбрутто,RU000A0ZZH92,RUB,410,1,17.555,7197.55,0,417,1,16.16,6738.72,0,7,-458.83,0,0,417,2022-02-21
FXDEETF,IE00BD3QJN10,RUB,1,1,3061,3061.00,0,1,1,3067,3067.00,0,0,6.00,0,0,1,2021-06-21
FXDMETF,IE00BMDKNM37,RUB,40,1,75.88,3035.20,0,40,1,75.75,3030.00,0,0,-5.20,0,0,40,2021-06-21
FXGDETF,IE00B8XB7377,RUB,0,1,870.8,0.00,0,0,1,877.8,0.00,0,0,0.00,1,0,1,2021-06-21
FXIMETF,IE00BNC2D728,RUB,20,1,87.07,1741.40,0,20,1,86.69,1733.80,0,0,-7.60,0,0,20,2021-06-21
FXRLETF,IE00BQ1Y6480,RUB,1,1,4072,4072.00,0,1,1,4077.5,4077.50,0,0,5.50,0,0,1,2021-06-21
FXRUETF,IE00BD5FH213,RUB,2,1,938.2,1876.40,0,2,1,946.2,1892.40,0,0,16.00,1,0,3,2021-06-21
FXRWETF,IE00BK224M36,RUB,465,1,1.2574,584.69,0,465,1,1.2545,583.34,0,0,-1.35,0,0,465,2021-06-21
FXUSETF,IE00BD3QHZ91,RUB,3,1,5580,16740.00,0,3,1,5625,16875.00,0,0,135.00,0,0,3,2021-06-21
SBSPETF,RU000A1006W1,RUB,2,1,1618.4,3236.80,0,2,1,1618,3236.00,0,0,-0.80,0,0,2,2021-06-21
VTBEETF,RU000A100HQ5,RUB,3,1,95.75,287.25,0,3,1,95.46,286.38,0,0,-0.87,0,0,3,2021-06-21
БПИФбрутто,RU000A0ZZH92,RUB,240,1,18.779,4506.96,0,240,1,18.847,4523.28,0,0,16.32,0,0,240,2021-06-21
FXDEETF,IE00BD3QJN10,RUB,1,1,3046,3046.00,0,1,1,3060,3060.00,0,0,14.00,0,0,1,2021-07-21
FXDMETF,IE00BMDKNM37,RUB,40,1,75.66,3026.40,0,40,1,76.21,3048.40,0,0,22.00,0,0,40,2021-07-21
FXGDETF,IE00B8XB7377,RUB,1,1,911.6,911.60,0,1,1,902.4,902.40,0,0,-9.20,0,0,1,2021-07-21
FXIMETF,IE00BNC2D728,RUB,20,1,92.2,1844.00,0,20,1,93.62,1872.40,0,0,28.40,0,0,20,2021-07-21
FXRLETF,IE00BQ1Y6480,RUB,1,1,4037,4037.00,0,1,1,4057.5,4057.50,0,0,20.50,0,0,1,2021-07-21
FXRUETF,IE00BD5FH213,RUB,3,1,963,2889.00,0,3,1,961.2,2883.60,0,0,-5.40,0,0,3,2021-07-21
FXRWETF,IE00BK224M36,RUB,465,1,1.2629,587.25,0,465,1,1.2703,590.69,0,0,3.44,0,0,465,2021-07-21
FXUSETF,IE00BD3QHZ91,RUB,3,1,5869,17607.00,0,3,1,5947,17841.00,0,0,234.00,0,0,3,2021-07-21
SBSPETF,RU000A1006W1,RUB,2,1,1696.4,3392.80,0,2,1,1713.2,3426.40,0,0,33.60,0,0,2,2021-07-21
VTBEETF,RU000A100HQ5,RUB,3,1,95.91,287.73,0,36,1,95.87,3451.32,0,33,3163.59,0,0,36,2021-07-21
БПИФбрутто,RU000A0ZZH92,RUB,240,1,18.695,4486.80,0,240,1,18.799,4511.76,0,0,24.96,0,0,240,2021-07-21
FXDEETF,IE00BD3QJN10,RUB,1,1,3067,3067.00,0,1,1,3095,3095.00,0,0,28.00,0,0,1,2021-06-22
FXDMETF,IE00BMDKNM37,RUB,40,1,75.75,3030.00,0,40,1,76.42,3056.80,0,0,26.80,0,0,40,2021-06-22
FXGDETF,IE00B8XB7377,RUB,0,1,877.8,0.00,0,1,1,879.6,879.60,0,1,879.60,0,0,1,2021-06-22
FXIMETF,IE00BNC2D728,RUB,20,1,86.69,1733.80,0,20,1,88.75,1775.00,0,0,41.20,0,0,20,2021-06-22
FXRLETF,IE00BQ1Y6480,RUB,1,1,4077.5,4077.50,0,1,1,4102.5,4102.50,0,0,25.00,0,0,1,2021-06-22
FXRUETF,IE00BD5FH213,RUB,2,1,946.2,1892.40,0,3,1,946.5,2839.50,0,1,947.10,0,0,3,2021-06-22
FXRWETF,IE00BK224M36,RUB,465,1,1.2545,583.34,0,465,1,1.2578,584.88,0,0,1.54,0,0,465,2021-06-22
FXUSETF,IE00BD3QHZ91,RUB,3,1,5625,16875.00,0,3,1,5686,17058.00,0,0,183.00,0,0,3,2021-06-22
SBSPETF,RU000A1006W1,RUB,2,1,1618,3236.00,0,2,1,1641.8,3283.60,0,0,47.60,0,0,2,2021-06-22
VTBEETF,RU000A100HQ5,RUB,3,1,95.46,286.38,0,3,1,96.26,288.78,0,0,2.40,0,0,3,2021-06-22
БПИФбрутто,RU000A0ZZH92,RUB,240,1,18.847,4523.28,0,240,1,18.956,4549.44,0,0,26.16,0,0,240,2021-06-22
25084,RU000A101FA1,RUB,0,1000,98.539,0.00,0,0,1000,98.539,0.00,0,0,0.00,30,0,30,2022-12-22
RSHEETF,RU000A100HQ5,RUB,81,1,94.21,7631.01,0,81,1,94.21,7631.01,0,0,0.00,0,0,81,2022-12-22
SBSPETF,RU000A1006W1,RUB,5,1,1719,8595.00,0,5,1,1719,8595.00,0,0,0.00,0,0,5,2022-12-22
БПИФбрутто,RU000A0ZZH92,RUB,417,1,11.576,4827.19,0,417,1,11.595,4835.12,0,0,7.93,0,0,417,2022-12-22
25084,RU000A101FA1,RUB,35,1000,99.494,34822.90,396.55,35,1000,99.56,34846.00,401.45,0,23.10,0,0,35,2023-06-23
RSHEETF,RU000A100HQ5,RUB,81,1,94.21,7631.01,0,81,1,94.21,7631.01,0,0,0.00,0,0,81,2023-06-23
SBSPETF,RU000A1006W1,RUB,5,1,1719,8595.00,0,5,1,1719,8595.00,0,0,0.00,0,0,5,2023-06-23
YandexclA,NL0009805522,RUB,1,0.01,2514,2514.00,0,1,0.01,2442.4,2442.40,0,0,-71.60,0,0,1,2023-06-23
БПИФбрутто,RU000A0ZZH92,RUB,830,1,15.963,13249.29,0,830,1,15.801,13114.83,0,0,-134.46,0,0,830,2023-06-23
ГАЗПРОМао,RU0007661625,RUB,30,5,170.02,5100.60,0,30,5,167.75,5032.50,0,0,-68.10,0,0,30,2023-06-23
