Дата заключения,Дата расчетов,Время заключения,Наименование,Код,Валюта,Вид,Количество,Цена,Сумма,НКД,Комиссия Брокера,Комиссия Биржи,Номер сделки,Комментарий,Статус
28.06.2024,01.07.2024,15:43:04,SBMMETF,SBMM,RUB,Покупка,200,13.253,2650.60,0.00,0.00,0.80,10827777133,,О
19.07.2021,21.07.2021,10:17:28,VTBEETF,VTBE,RUB,Покупка,17,96.5,1640.50,0.00,0.00,0.15,4163579249,,И
19.07.2021,21.07.2021,17:58:59,VTBEETF,VTBE,RUB,Покупка,16,95.75,1532.00,0.00,0.00,0.14,4165624734,,И
18.07.2023,20.07.2023,16:07:57,СевСт-ао,CHMF,RUB,Покупка,1,1275.6,1275.60,0.00,0.77,0.38,7908972071,,И
18.07.2023,20.07.2023,17:52:50,Сбербанк,SBER,RUB,Покупка,10,246.21,2462.10,0.00,1.48,0.73,7909781928,,И
18.07.2023,20.07.2023,17:55:20,Системаао,AFKS,RUB,Покупка,100,17.744,1774.40,0.00,1.06,0.54,7909796018,,И
18.07.2023,20.07.2023,17:56:39,ИнтерРАОао,IRAO,RUB,Покупка,200,4.159,831.80,0.00,0.50,0.25,7909802059,,И
28.06.2024,01.07.2024,15:37:55,СевСт-ао,CHMF,RUB,Покупка,2,1547,3094.00,0.00,1.86,0.92,10827755871,,И
28.06.2024,01.07.2024,15:40:14,Системаао,AFKS,RUB,Покупка,100,23.614,2361.40,0.00,1.41,0.71,10827765786,,И
28.06.2024,01.07.2024,15:41:35,ИнтерРАОао,IRAO,RUB,Покупка,200,3.921,784.20,0.00,0.47,0.24,10827771803,,И
28.06.2024,01.07.2024,15:43:04,SBMMETF,SBMM,RUB,Покупка,200,13.253,2650.60,0.00,0.00,0.80,10827777133,,И
28.06.2024,01.07.2024,15:37:55,СевСт-ао,CHMF,RUB,Покупка,2,1547,3094.00,0.00,1.86,0.92,10827755871,,И
28.06.2024,01.07.2024,15:40:14,Системаао,AFKS,RUB,Покупка,100,23.614,2361.40,0.00,1.41,0.71,10827765786,,И
28.06.2024,01.07.2024,15:41:35,ИнтерРАОао,IRAO,RUB,Покупка,200,3.921,784.20,0.00,0.47,0.24,10827771803,,И
28.06.2024,01.07.2024,15:43:04,SBMMETF,SBMM,RUB,Покупка,200,13.253,2650.60,0.00,0.00,0.80,10827777133,,И
08.07.2024,09.07.2024,12:03:10,YandexclA,YNDX,RUB,Продажа,2,4250,8500.00,0.00,25.50,0.00,10882563687,Заявкапотелефону,И
08.07.2024,09.07.2024,12:04:08,ЯНДЕКС,YDEX,RUB,Покупка,2,4250,8500.00,0.00,4.25,0.00,10882597257,Заявкапотелефону,И
15.07.2024,16.07.2024,14:13:48,SBMMETF,SBMM,RUB,Продажа,366,13.3375,4881.53,0.00,0.00,1.46,10925456998,,И
15.07.2024,16.07.2024,14:14:50,МТС-ао,MTSS,RUB,Покупка,10,267.95,2679.50,0.00,1.61,0.80,10925470476,,И
15.07.2024,16.07.2024,14:15:55,ИнтерРАОао,IRAO,RUB,Покупка,100,3.728,372.80,0.00,0.22,0.11,10925488174,,И
15.07.2024,16.07.2024,14:16:39,Роснефть,ROSN,RUB,Покупка,1,510.75,510.75,0.00,0.31,0.16,10925495911,,И
15.07.2024,16.07.2024,14:17:11,Новатэкао,NVTK,RUB,Покупка,1,1022.2,1022.20,0.00,0.61,0.31,10925499700,,И
15.07.2024,16.07.2024,14:17:47,Сургнфгз,SNGS,RUB,Покупка,100,27.655,2765.50,0.00,1.66,0.83,10925504042,,И
15.07.2024,16.07.2024,14:18:28,РусГидро,HYDR,RUB,Покупка,1000,0.6023,602.30,0.00,0.36,0.18,10925509120,,И
15.07.2024,16.07.2024,14:20:15,SBMMETF,SBMM,RUB,Покупка,40,13.338,533.52,0.00,0.00,0.16,10925522840,,И
